Teamname,2000,20001,2002,2003,2004,2005,2006
Ferrari,179,179,221,158,262,100,201
McLaren,152,102,65,142,69,182,110
Williams,36,80,92,144,88,66,11
Benetton,20,10,,,,,
BAR,20,17,7,26,119,38,86
Jordan,17,19,9,13,5,12,
Sauber,6,21,11,19,34,20,36
Arrows,7,1,2,,,,
Minardi,0,0,2,0,1,7,
Prost,0,4,,,,,
Jaguar,4,9,8,18,10,,
Renault,,,23,88,105,191,206
Toyota,,,2,16,9,88,35
Red Bull,,,,,,34,16
